team_home,team_away,over_under_line,spread_favorite,home_favorite,hm_avg_pts_diff,aw_avg_pts_diff
Chiefs,Lions,53.5,-6.5,1,7.5,1.5
Falcons,Panthers,43.5,-3,1,-1.235294118,-1.588235294
Browns,Bengals,47.5,-2.5,0,-1.176470588,6
Colts,Jags,44,-3.5,0,-8.117647059,3.176470588
Vikings,Bucs,46,-6.5,1,-0.1764705882,-2.647058824
Saints,Titans,41.5,-3.5,1,-0.8823529412,-3.588235294
Steelers,49ers,40.5,-2.5,0,-2.235294118,10.176
Commanders,Cardinals,40.5,-6,1,-1.294117647,-6.411764706
Ravens,Texans,45,-9.5,1,2.058823529,-7.705882353
Bears,Packers,44.5,-2.5,1,-8.058823529,-0.05882352941
Broncos,Raiders,45,-3.5,1,-4.235294118,-1.352941176
Pats,Eagles,46.5,-4,0,1,7.823529412
Chargers,Dolphins,50.5,-2.5,1,0.4117647059,-0.1176470588
Seahawks,Rams,46.5,-5.5,1,0.3529411765,-4.529411765
Giants,Cowboys,46.5,-3.5,0,-0.3529411765,7.352941176
Jets,Bills,47,-1.5,0,-1.176470588,10.5625
